Designator,Mid X,Mid Y,Rotation,Layer
SW100_ВВОД1,212.0,-100.0,0.0,top
SW101_СБР1,228.0,-100.0,0.0,top
SW102_БЛК1,220.0,-100.0,90.0,top
SW103_СС1,102.0,-124.0,0.0,top
SW104_УС1,100.0,-116.0,0.0,top
SW105_РУС/LAT1,102.0,-132.0,0.0,top
SW10_1,108.0,-100.0,90.0,top
SW11_9,172.0,-100.0,90.0,top
SW12_А1,132.0,-116.0,0.0,top
SW13_И1,144.0,-124.0,0.0,top
SW14_Я1,112.0,-124.0,0.0,top
SW15_Ы1,116.0,-116.0,0.0,top
SW16_СТР1,228.0,-124.0,90.0,top
SW17_ВК1,194.0,-124.0,0.0,top
SW18_2,116.0,-100.0,0.0,top
SW19_:1,192.0,-108.0,90.0,top
SW1_ТАБ1,114.0,-132.0,0.0,top
SW20_Б1,168.0,-124.0,90.0,top
SW21_Й1,104.0,-108.0,0.0,top
SW22_Р1,148.0,-116.0,0.0,top
SW23_З1,176.0,-108.0,90.0,top
SW24_AP2,228.0,-116.0,0.0,top
SW25_ЗБ1,194.0,-132.0,0.0,top
SW26_3,124.0,-100.0,90.0,top
SW27_;1,100.0,-100.0,0.0,top
SW28_Ц1,112.0,-108.0,90.0,top
SW29_К1,128.0,-108.0,90.0,top
SW2_0,180.0,-100.0,0.0,top
SW30_С1,128.0,-124.0,0.0,top
SW31_Ш1,160.0,-108.0,90.0,top
SW32_F1,212.0,-108.0,90.0,top
SW33_LT1,212.0,-132.0,0.0,top
SW34_4,132.0,-100.0,0.0,top
"SW35_,<1",184.0,-124.0,90.0,top
SW36_Д1,172.0,-116.0,90.0,top
SW37_Л1,164.0,-116.0,0.0,top
SW38_Т1,152.0,-124.0,90.0,top
SW39_Э1,188.0,-116.0,90.0,top
SW3_8,164.0,-100.0,0.0,top
SW40_F2,220.0,-108.0,0.0,top
SW41_UP1,220.0,-124.0,0.0,top
SW42_5,140.0,-100.0,90.0,top
SW43_-=1,188.0,-100.0,90.0,top
SW44_E1,136.0,-108.0,0.0,top
SW45_М1,136.0,-124.0,90.0,top
SW46_У1,120.0,-108.0,0.0,top
SW47_Щ1,168.0,-108.0,0.0,top
SW48_F3,228.0,-108.0,90.0,top
SW49_RT1,228.0,-132.0,0.0,top
SW4_Ю1,176.0,-124.0,0.0,top
SW50_6,148.0,-100.0,0.0,top
SW51_.>1,196.0,-116.0,0.0,top
SW52_Ф1,108.0,-116.0,90.0,top
SW53_Н1,144.0,-108.0,90.0,top
SW54_Ж1,180.0,-116.0,0.0,top
SW55_Ч1,120.0,-124.0,90.0,top
SW56_F4,212.0,-116.0,0.0,top
SW57_DN1,220.0,-132.0,90.0,top
SW58_7,156.0,-100.0,90.0,top
SW59_/1,196.0,-100.0,0.0,top
SW5_Х1,184.0,-108.0,0.0,top
SW60_Г1,152.0,-108.0,0.0,top
SW61_О1,156.0,-116.0,90.0,top
SW62_В1,124.0,-116.0,90.0,top
SW63_SPC1,148.0,-132.0,0.0,top
SW64_F5,220.0,-116.0,90.0,top
SW6_П1,140.0,-116.0,90.0,top
SW7_Ь1,160.0,-124.0,0.0,top
SW8_HOME1,212.0,-124.0,90.0,top
SW9_ПС1,182.0,-132.0,0.0,top
